,datadate,datatime,ticker,exchangecd,lastprice,volume,side
4086,20161121,14:27:33,300559,XSHE,91.34,500,B
4087,20161121,14:27:36,300559,XSHE,91.35,700,B
4089,20161121,14:27:42,300559,XSHE,91.35,500,S
4090,20161121,14:27:45,300559,XSHE,91.35,300,B
4093,20161121,14:27:54,300559,XSHE,91.34,1700,S
4095,20161121,14:28:00,300559,XSHE,91.35,1500,B
4096,20161121,14:28:03,300559,XSHE,91.35,500,B
4097,20161121,14:28:06,300559,XSHE,91.34,600,S
4098,20161121,14:28:09,300559,XSHE,91.34,200,S
4099,20161121,14:28:12,300559,XSHE,91.36,1000,B
4100,20161121,14:28:18,300559,XSHE,91.34,100,S
4101,20161121,14:28:21,300559,XSHE,91.34,300,B
4102,20161121,14:28:24,300559,XSHE,91.34,200,S
4105,20161121,14:28:33,300559,XSHE,91.34,400,B
4107,20161121,14:28:39,300559,XSHE,91.34,100,B
4108,20161121,14:28:42,300559,XSHE,91.33,400,S
4109,20161121,14:28:45,300559,XSHE,91.36,4100,B
4110,20161121,14:28:48,300559,XSHE,91.36,200,S
4111,20161121,14:28:51,300559,XSHE,91.36,600,S
4112,20161121,14:28:54,300559,XSHE,91.36,500,S
4113,20161121,14:28:57,300559,XSHE,91.36,100,S
4114,20161121,14:29:00,300559,XSHE,91.36,1600,S
4116,20161121,14:29:06,300559,XSHE,91.36,1800,S
4117,20161121,14:29:09,300559,XSHE,91.36,500,S
4118,20161121,14:29:12,300559,XSHE,91.36,1200,B
4119,20161121,14:29:15,300559,XSHE,91.36,100,S
4120,20161121,14:29:18,300559,XSHE,91.36,900,B
4121,20161121,14:29:21,300559,XSHE,91.36,300,B
4122,20161121,14:29:24,300559,XSHE,91.36,200,B
4124,20161121,14:29:30,300559,XSHE,91.34,500,S
4125,20161121,14:29:33,300559,XSHE,91.36,4000,B
4127,20161121,14:29:39,300559,XSHE,91.36,1100,S
4128,20161121,14:29:42,300559,XSHE,91.36,600,S
4129,20161121,14:29:45,300559,XSHE,91.36,500,S
4130,20161121,14:29:48,300559,XSHE,91.36,1000,S
4131,20161121,14:29:51,300559,XSHE,91.36,2900,S
4132,20161121,14:29:54,300559,XSHE,91.37,800,B
4133,20161121,14:29:57,300559,XSHE,91.37,500,S
4134,20161121,14:30:00,300559,XSHE,91.36,526,S
4135,20161121,14:30:03,300559,XSHE,91.36,500,S
4136,20161121,14:30:06,300559,XSHE,91.37,1200,B
4137,20161121,14:30:09,300559,XSHE,91.36,974,S
4139,20161121,14:30:15,300559,XSHE,91.36,400,B
4140,20161121,14:30:18,300559,XSHE,91.36,300,B
4143,20161121,14:30:27,300559,XSHE,91.37,626,B
4144,20161121,14:30:30,300559,XSHE,91.36,500,S
4145,20161121,14:30:33,300559,XSHE,91.35,974,S
4146,20161121,14:30:36,300559,XSHE,91.35,100,S
4147,20161121,14:30:39,300559,XSHE,91.34,700,S
4149,20161121,14:30:45,300559,XSHE,91.36,100,B
4151,20161121,14:30:51,300559,XSHE,91.36,1400,B
4152,20161121,14:30:54,300559,XSHE,91.35,1000,S
4153,20161121,14:30:57,300559,XSHE,91.36,2500,B
4154,20161121,14:31:00,300559,XSHE,91.35,500,S
4155,20161121,14:31:03,300559,XSHE,91.36,2826,B
4156,20161121,14:31:06,300559,XSHE,91.36,1800,S
4157,20161121,14:31:09,300559,XSHE,91.36,1500,S
4158,20161121,14:31:12,300559,XSHE,91.36,500,S
4159,20161121,14:31:15,300559,XSHE,91.36,274,B
4160,20161121,14:31:18,300559,XSHE,91.35,500,S
4161,20161121,14:31:21,300559,XSHE,91.36,1726,B
4162,20161121,14:31:24,300559,XSHE,91.35,500,S
4165,20161121,14:31:33,300559,XSHE,91.35,474,B
4166,20161121,14:31:36,300559,XSHE,91.35,100,B
4167,20161121,14:31:39,300559,XSHE,91.35,200,B
4169,20161121,14:31:45,300559,XSHE,91.35,1198,B
4171,20161121,14:31:51,300559,XSHE,91.35,1300,B
4172,20161121,14:31:54,300559,XSHE,91.33,502,S
4174,20161121,14:32:00,300559,XSHE,91.34,800,B
4175,20161121,14:32:03,300559,XSHE,91.34,400,B
4176,20161121,14:32:06,300559,XSHE,91.34,200,B
4178,20161121,14:32:12,300559,XSHE,91.33,300,S
4179,20161121,14:32:15,300559,XSHE,91.34,1798,B
4180,20161121,14:32:18,300559,XSHE,91.33,1102,S
4182,20161121,14:32:24,300559,XSHE,91.33,100,B
4183,20161121,14:32:27,300559,XSHE,91.33,1000,B
4185,20161121,14:32:33,300559,XSHE,91.32,500,S
4186,20161121,14:32:36,300559,XSHE,91.32,1000,S
4187,20161121,14:32:39,300559,XSHE,91.32,200,S
4188,20161121,14:32:42,300559,XSHE,91.32,300,B
4189,20161121,14:32:45,300559,XSHE,91.32,100,B
4190,20161121,14:32:48,300559,XSHE,91.32,100,B
4193,20161121,14:32:57,300559,XSHE,91.31,2400,S
4194,20161121,14:33:00,300559,XSHE,91.31,300,S
4195,20161121,14:33:03,300559,XSHE,91.32,2100,B
4196,20161121,14:33:06,300559,XSHE,91.31,700,S
4197,20161121,14:33:09,300559,XSHE,91.31,1800,S
4198,20161121,14:33:12,300559,XSHE,91.31,2800,S
4199,20161121,14:33:15,300559,XSHE,91.32,500,B
4200,20161121,14:33:18,300559,XSHE,91.31,600,S
4203,20161121,14:33:27,300559,XSHE,91.31,300,B
4204,20161121,14:33:30,300559,XSHE,91.3,4000,S
4205,20161121,14:33:33,300559,XSHE,91.3,1600,S
4206,20161121,14:33:36,300559,XSHE,91.3,500,S
4207,20161121,14:33:39,300559,XSHE,91.3,1500,S
4208,20161121,14:33:42,300559,XSHE,91.3,2100,S
4209,20161121,14:33:45,300559,XSHE,91.3,3300,S
4210,20161121,14:33:48,300559,XSHE,91.3,1500,S
4211,20161121,14:33:51,300559,XSHE,91.3,2900,S
4212,20161121,14:33:54,300559,XSHE,91.3,1000,S
4213,20161121,14:33:57,300559,XSHE,91.3,3500,S
4214,20161121,14:34:00,300559,XSHE,91.3,3000,S
4215,20161121,14:34:03,300559,XSHE,91.3,3800,S
4216,20161121,14:34:06,300559,XSHE,91.31,2003,B
4218,20161121,14:34:12,300559,XSHE,91.3,1100,S
4219,20161121,14:34:15,300559,XSHE,91.3,6500,B
4220,20161121,14:34:18,300559,XSHE,91.29,1200,S
4221,20161121,14:34:21,300559,XSHE,91.29,2200,S
4222,20161121,14:34:24,300559,XSHE,91.29,1100,S
4223,20161121,14:34:27,300559,XSHE,91.29,1000,S
4224,20161121,14:34:30,300559,XSHE,91.29,1339,B
